Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link
65. T-Men,1947,1h 32m,Approved,6.9,4.1K,,Two U.S. Treasury agents hunt a successful counterfeiting ring.,https://www.imdb.com/title/tt0039881/?ref_=sr_i_65
66. High Wall,1947,1h 39m,Approved,6.9,2.3K,,"After a brain-damaged war veteran confesses to murdering his wife and is sent to a psychiatric hospital, a sympathetic doctor tries to lead him to recover his memory of events as he begins to question his guilt.",https://www.imdb.com/title/tt0039464/?ref_=sr_i_66
67. The Beginning or the End,1947,1h 52m,Approved,6.6,767,,"A docudrama detailing the research, development and deployment of the first atomic bomb, as well as the bombing of Hiroshima.",https://www.imdb.com/title/tt0039178/?ref_=sr_i_67
68. Road to Rio,1947,1h 40m,Approved,6.9,3.6K,66,Two inept vaudevillians stow away on a Brazilian-bound ocean liner and foil a plot by a sinister hypnotist to marry off her niece to a greedy fortune hunter.,https://www.imdb.com/title/tt0039776/?ref_=sr_i_68
69. Moss Rose,1947,1h 22m,Approved,6.6,783,,"Set in turn-of-the-century London, a woman trying to solve the mystery of a friend's murder finds that she may be the next victim.",https://www.imdb.com/title/tt0037089/?ref_=sr_i_69
70. Desire Me,1947,1h 31m,Approved,6.0,1K,,"Released from a POW camp at the end of WW2, a French soldier tricks the wife of a fellow POW into believing her husband was killed by the Germans and seduces the grieving woman, but the 'dead' husband eventually returns home.",https://www.imdb.com/title/tt0039312/?ref_=sr_i_70
71. The Fugitive,1947,1h 44m,Approved,6.3,2.7K,,Anti-Catholic and anti-cleric policies in the Mexican state of Tabasco lead the revolutionary government to persecute the state's last remaining priest.,https://www.imdb.com/title/tt0039402/?ref_=sr_i_71
72. Singapore,1947,1h 19m,Approved,6.4,864,,"After WW2, an American skipper returns to Singapore to retrieve his hidden stash of pearls and finds his lost fiancée who now has amnesia.",https://www.imdb.com/title/tt0039829/?ref_=sr_i_72
73. Lighthouse,1947,1h 2m,Approved,6.2,207,,"Older Hank Armitage and younger Sam Wells lead a combined lonely existence in their relative seclusion as a lighthouse keeper and his assistant, respectively, their lighthouse built on what would otherwise be a small pile of rocks off the coast. One or the other will make the necessary trip via boat into town once a week for supplies as someone needs to be at the lighthouse at all times. Sam has been stringing along a local girl, Connie, on the eventual promise of marriage when the time is right. Connie has her own troubles without Sam, as she has attracted some unwanted attention which led to her being fired from her job at the cannery, unemployment which makes her want marriage to Sam be sooner than later in her loneliness. When Connie, upon meeting Hank, learns that Sam may not be the forthright guy she knew and loved, with Hank having no reason to lie in only telling what he believed to be benign truths and not knowing about Sam and Connie being in a relationship, Connie, solely in an act of spite, decides instead to marry Hank who has fallen in love with her, she to move out to the lighthouse. Those confined quarters with newlyweds Hank and Connie, and spurned Sam who believes Connie still truly loves him and will never love Hank, lead to an environment of tension, the only one not knowing what is going on being Hank. What happens in this triangle is affected by what each wants with respect to the other two, and as time goes on what each thinks the other two want.",https://www.imdb.com/title/tt0039567/?ref_=sr_i_73
74. Tycoon,1947,2h 8m,Approved,6.1,1.7K,,"In South America, an American engineer is asked by his boss to build a mountain railroad tunnel following a shorter but more dangerous route.",https://www.imdb.com/title/tt0039927/?ref_=sr_i_74
75. Dishonored Lady,1947,1h 25m,Approved,6.4,1.8K,,A beautiful editor at a fashion magazine has a breakdown due to the pressures of her work and her disappointing love life. A psychiatrist recommends that she start life fresh by moving into a smaller apartment and under another name.,https://www.imdb.com/title/tt0039324/?ref_=sr_i_75
76. Slave Girl,1947,1h 20m,Approved,5.2,162,,"An American adventurer goes to Tripoli to rescue some kidnapped sailors, but gets involved with a beautiful slave girl.",https://www.imdb.com/title/tt0039836/?ref_=sr_i_76
77. The Sea of Grass,1947,2h 3m,Approved,6.3,2.6K,,"On America's frontier, a St. Louis woman marries a New Mexico cattleman who is seen as a tyrant by the locals.",https://www.imdb.com/title/tt0039806/?ref_=sr_i_77
78. Mine Own Executioner,1947,1h 48m,Approved,6.7,499,,"Pretty Molly Lucian (Barbara White) enlists the reluctant aid of psychologist Felix Milne (Burgess Meredith) in treating her potentially homicidal husband Adam (Kieron Moore), who refuses to see a ""real"" psychiatrist. Traumatized in a Japanese prison camp, Adam proves to be on the verge of severe schizophrenia. In his risky struggle to help Adam, Felix finds his none-too-functional home life deteriorating, and is unable to help himself as he helps others. The situation rushes headlong to a suspenseful climax.",https://www.imdb.com/title/tt0039627/?ref_=sr_i_78
79. Riwaaj,1947,,,,,,,https://www.imdb.com/title/tt0230700/?ref_=sr_i_79
80. My Wild Irish Rose,1947,1h 41m,Approved,6.4,442,,"The life of Irish tenor Chauncey Olcott is chronicled from his childhood to his days as the toast of New York. In between, his rise to the top is complicated by romances with two women: his true love Rose Donovan and stage star Lillian Russell, who wants to make him a star.",https://www.imdb.com/title/tt0039647/?ref_=sr_i_80
81. 13 Rue Madeleine,1947,1h 35m,Approved,6.9,3.2K,,"When spy chief Bob Sharkey finds out one of his agents-in-training is actually a Nazi double agent, his strategic decision not to arrest him results in tragedy.",https://www.imdb.com/title/tt0038279/?ref_=sr_i_81
82. Copacabana,1947,1h 32m,Approved,6.1,1.4K,,An agent has his only client pose as both a French chanteuse and Brazilian bombshell to fool a nightclub owner.,https://www.imdb.com/title/tt0039277/?ref_=sr_i_82
83. Good News,1947,1h 33m,Approved,6.7,2.9K,77,Golden Globe winner June Allyson and Peter Lawford star in this enjoyable musical about a football hero who falls in love with his French tutor.,https://www.imdb.com/title/tt0039431/?ref_=sr_i_83
84. La diosa arrodillada,1947,1h 47m,Not Rated,7.1,417,,"A artist model who leads the ever hapless Arturo de Córdova away from the arms of his innocent, blue-eyed wife and down, down, down into the ecstatic depths of degradation which include a stop at seedy Panamanian nightclub.",https://www.imdb.com/title/tt0039323/?ref_=sr_i_84
85. Ivy,1947,1h 39m,Approved,7.0,1.2K,,"An Edwardian belle meets a rich bachelor, but what to do about her husband and her lover?",https://www.imdb.com/title/tt0039504/?ref_=sr_i_85
86. Mourning Becomes Electra,1947,2h 39m,Approved,6.3,1.4K,,"Eugene O'Neill's updated version of the Oresteia set in New England, after the American Civil War.",https://www.imdb.com/title/tt0039636/?ref_=sr_i_86
87. Something in the Wind,1947,1h 34m,Approved,6.5,551,,"A grandson of a recently deceased millionaire mistakes a beautiful female disc jockey for her aunt, who once dated the grandfather.",https://www.imdb.com/title/tt0039847/?ref_=sr_i_87
88. The Late George Apley,1947,1h 33m,Approved,6.9,976,,"George and Catherine Apley, a Boston family, live a proper life in a social circle. However, Eleanor's love for Howard and John's union with Myrtle threatens their home.",https://www.imdb.com/title/tt0039556/?ref_=sr_i_88
89. Variety Girl,1947,1h 33m,Approved,6.3,530,,"Almost everyone under contract to Paramount Pictures at the time make cameos or perform songs, with particularly large amounts of screen time featuring Bob Hope and Bing Crosby.",https://www.imdb.com/title/tt0039951/?ref_=sr_i_89
90. I Became a Criminal,1947,1h 18m,Approved,7.2,2.1K,,"After WW2, former RAF airman Clem Morgan joins a gang of black-market smugglers-thieves but when a robbery goes wrong, Clem is caught , framed for a policeman's murder, and is sent to prison where he plots his escape and revenge.",https://www.imdb.com/title/tt0039895/?ref_=sr_i_90
91. The Woman on the Beach,1947,1h 11m,Approved,6.4,2.7K,,A Coast Guardsman suffering from Post-Traumatic Stress Disorder becomes involved with a beautiful and enigmatic seductress married to a blind painter.,https://www.imdb.com/title/tt0040000/?ref_=sr_i_91
92. The Unfaithful,1947,1h 49m,Approved,6.8,1.7K,,A Los Angeles socialite kills a man while home alone one night and claims he was an intruder she did not know. It seems like a clear case of self defense until the story hits the papers and people connected to the dead man come forward.,https://www.imdb.com/title/tt0039937/?ref_=sr_i_92
93. The Thirteenth Hour,1947,1h 5m,Approved,6.4,463,,"Truck owner Steve Reynolds gets caught up in a rivalry feud and is framed for a cop's murder after his truck is stolen. With a diamond-studded glove as the only clue, he evades the law while pursuing the real culprit to clear his name.",https://www.imdb.com/title/tt0039127/?ref_=sr_i_93
94. Gunsmoke,1947,49m,,3.8,32,,"Rancher Marlowe is killed by Dirk Mattson. His son Brad seeks revenge, kills Dirk, and is wounded. Carol Henderson finds Brad and gets outlaws to help him. Brad joins Duke's Raiders, led by Dirk's twin, to take down the gang from within.",https://www.imdb.com/title/tt0181566/?ref_=sr_i_94
95. The Brasher Doubloon,1947,1h 12m,Approved,6.5,1.5K,,Detective Philip Marlowe encounters a variety of characters while checking on why Leslie Murdock stole a rare doubloon from his mother.,https://www.imdb.com/title/tt0039217/?ref_=sr_i_95
96. Ramrod,1947,1h 34m,Approved,6.7,2K,,"Story about violent feud between Connie Dickason, the owner of the Circle 66 ranch and rancher Frank Ivey, the self-proclaimed boss of an otherwise public grazing land.",https://www.imdb.com/title/tt0039750/?ref_=sr_i_96
97. The Other Love,1947,1h 35m,Approved,6.1,975,,"Karen Duncan, a seriously ill concert pianist, enters a Swiss sanatorium where she's attracted to Dr. Tony Stanton. Ignoring his warnings about resting, she leaves for Monte Carlo with Paul Clermont despite possibly fatal consequences.",https://www.imdb.com/title/tt0039686/?ref_=sr_i_97
98. Desperate,1947,1h 13m,Approved,6.7,2.7K,,A young married couple flee both the police and a gangster out for revenge.,https://www.imdb.com/title/tt0039313/?ref_=sr_i_98
99. The Flame,1947,1h 37m,Approved,6.5,450,,A woman falls for the victim of an intended blackmail plot.,https://www.imdb.com/title/tt0039386/?ref_=sr_i_99
100. Golden Earrings,1947,1h 35m,Approved,6.6,1.3K,,"On the eve of WW2, a British spy goes to Germany to obtain a secret poison-gas formula from a scientist but things go awry and he is saved by a beautiful nomadic gypsy woman.",https://www.imdb.com/title/tt0039428/?ref_=sr_i_100
101. The Hucksters,1947,1h 55m,Approved,6.7,2.1K,,"A World War II veteran wants to return to advertising on his own terms, but finds it difficult to be successful and maintain his integrity.",https://www.imdb.com/title/tt0039477/?ref_=sr_i_101
102. Gunfighters,1947,1h 27m,Approved,6.3,979,,Gunfighter Brazos Kane takes a job on a ranch but he is unjustly accused of killing fellow cowhand Bob Tyrell and must clear himself by finding the real killer.,https://www.imdb.com/title/tt0039441/?ref_=sr_i_102
103. The Lost Moment,1947,1h 29m,Approved,6.8,1.4K,,A publisher insinuates himself into the mouldering mansion of the centenarian lover of a renowned but long-dead poet to find his lost love letters.,https://www.imdb.com/title/tt0039583/?ref_=sr_i_103
104. Dick Tracy Meets Gruesome,1947,1h 5m,Approved,6.1,2K,,Dick Tracy goes up against a villain who robs banks using a nerve gas.,https://www.imdb.com/title/tt0039320/?ref_=sr_i_104
105. Smash-Up: The Story of a Woman,1947,1h 43m,Approved,6.3,1.8K,,"A successful nightclub singer weds a struggling songwriter, but when his fame eclipses hers, she delves into alcoholism.",https://www.imdb.com/title/tt0039840/?ref_=sr_i_105
106. One Wonderful Sunday,1947,1h 48m,Not Rated,7.2,3.9K,,"During a Sunday trip into war-ravaged Tokyo, despairing Yuzo and optimistic Masako look for work and lodging, as well as affordable entertainments to pass the time.",https://www.imdb.com/title/tt0039871/?ref_=sr_i_106
107. Magic Town,1947,1h 43m,Approved,6.4,1.8K,,An opinion pollster finds a town which is a perfect mirror of U.S. opinions.,https://www.imdb.com/title/tt0039595/?ref_=sr_i_107
108. Saigon,1947,1h 33m,Not Rated,6.2,458,,"After WW2, two army buddies, one of them terminally-ill, embark on a series of adventures in South-East Asia and run across a dangerous criminal and his pretty secretary.",https://www.imdb.com/title/tt0040753/?ref_=sr_i_108
109. The Web,1947,1h 27m,Approved,7.1,1.6K,,"An attorney acting as a body guard, apparently kills a man in defense of his employer's life, and later believes the victim was set up to be murdered.",https://www.imdb.com/title/tt0039973/?ref_=sr_i_109
110. Woman Without a Face,1947,1h 42m,,6.5,436,,"Martin and Frida married solely because she was pregnant. Later he would have a passionate side-affair with Rut. Rut's sexual feelings were highly neurotic because she had been sexually abused by her stepfather. When the chimney sweep came, she seduced him and afterward felt dirty and desperate. She found and seduced Martin. From the beginning she interspersed mean attacks. During the war he was drafted, but deserted. He and Rut hired a room by the chimney sweep. Soon Rut seriously stabbed Martin's hand with a fork and they were thrown out. But whatever Rut did, she could always ""make it undone"" by one word. Eventually they lived at the loft of an empty storehouse. On New Year's Eve Rut went to her mother and stepfather and demanded all cash the latter had. He gave her what was equal to four months salary for an unskilled worker. Martin believed she had got the money by prostitution. He left her and reported himself to the police. Rut promised to revenge herself. Martin was acquitted because a friend testified that he was mentally ill when he deserted. He and Rut reconciled, but she did not forget her promise. She left him when it would hurt most. He tried to kill himself, but was saved.",https://www.imdb.com/title/tt0039543/?ref_=sr_i_110
