Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
533. Second Wife,1930,1h 4m,Passed,5.0,49,,"A man's pregnant second wife gets upset when he decides to go overseas to his young son, who may be dying of typhoid fever.",https://www.imdb.com/title/tt0021353/?ref_=sr_i_533,"['Hugh Herbert', 'Bert Glennon', 'Fulton Oursler']",['Russell Mack'],"['Conrad Nagel', 'Lila Lee', 'Mary Carr', 'Hugh Huntley', 'Freddie Burke Frederick']",,,,,"February 9, 1930",['United States'],"['RKO Studios - 780 N. Gower Street, Hollywood, Los Angeles, California, USA (Studio)']",['RKO Radio Pictures'],,['Drama'],['English']
534. The Lone Rider,1930,57m,Approved,6.4,51,,"Lanning heads a vigilante group till Farrell digs up some dirt which turns the vigilantes on him. To save his own reputation, Lanning must bring Farrell to trial.",https://www.imdb.com/title/tt0021084/?ref_=sr_i_534,"['Frank Howard Clark', 'Forrest Sheldon']",['Louis King'],"['Buck Jones', 'Vera Reynolds', 'Harry Woods', 'George C. Pearce', 'Tom Bay', 'Buck Bucko', 'Roy Bucko', 'Bob Burns', 'Buck Connors', 'Jim Corey']",,,,,"July 13, 1930",['United States'],"['Paramount Ranch - 2813 Cornell Road, Agoura, California, USA (Original Western street as town of Gold City)']",['Sol Lesser Productions'],,['Western'],['English']
535. She Couldn't Say No,1930,1h 10m,Passed,6.5,36,,A night club entertainer loves a gangster.,https://www.imdb.com/title/tt0021360/?ref_=sr_i_535,"['Harvey F. Thew', 'Benjamin M. Kaye', 'Robert Lord']",['Lloyd Bacon'],"['Winnie Lightner', 'Chester Morris', 'Sally Eilers', 'Johnny Arthur', 'Tully Marshall', 'Louise Beavers', 'Phyllis Haver', 'Bill Elliott']",,,,,"February 15, 1930",['United States'],"['Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA (Studio)']",['Warner Bros.'],,"['Action', 'Drama', 'Music', 'Romance']",['English']
536. L'instinct,1930,,,,,,,https://www.imdb.com/title/tt0020028/?ref_=sr_i_536,['Henry Kistemaekers'],"['André Liabel', 'Léon Mathot']","['Léon Mathot', 'Madeleine Carroll', 'André Marnay', 'Irène Brillant', 'Gil Roland']",,,,,"April 4, 1930",['France'],,"['Franco Films', 'Paris International Film']",,['Drama'],"['None', 'French']"
537. El valiente,1930,,,,,,,https://www.imdb.com/title/tt0142953/?ref_=sr_i_537,"['John Hunter Booth', 'Holworthy Hall', 'Salvador Martín']",['Richard Harlan'],"['Juan Torena', 'Angelita Benítez', 'Carlos Villarías', 'María Calvo', 'Ralph Navarro', 'Rafael Callol', 'Max Wagner', 'Juan de Landa', 'Julio Villarreal', 'Jacinto Jaramillo']",,,,,"April 11, 1931",['United States'],,['Fox Film Corporation'],,['Drama'],['Spanish']
538. Remote Control,1930,1h 5m,Passed,5.5,660,,A radio announcer suspects a cohort of sending coded messages over the air to his bank-robber friends.,https://www.imdb.com/title/tt0021294/?ref_=sr_i_538,"['Albert C. Fuller', 'Jack Nelson', 'Clyde North']","['Nick Grinde', 'Malcolm St. Clair', 'Edward Sedgwick']","['William Haines', 'Charles King', 'Mary Doran', 'John Miljan', 'Polly Moran', 'J.C. Nugent', 'Edward J. Nugent', 'Wilbur Mack', 'James Donlan', 'Edward Brophy']",,,,,"November 15, 1930",['United States'],"['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA']",['Metro-Goldwyn-Mayer (MGM)'],,"['Adventure', 'Comedy', 'Crime', 'Drama']",['English']
539. Alma de Gaucho,1930,,,,,,,https://www.imdb.com/title/tt0020633/?ref_=sr_i_539,"['Paul Ellis', 'Benjamin I. Paralupi']",['Henry Otto'],"['Paul Ellis', 'Mona Rico', 'Frank Amerise', 'Christina Montt', 'George Regas', 'Humberto Bonavi', 'Alberto de Mendoza', 'Ema Mora']",,,,,"June 7, 1930",['United States'],,['Chris Phyllis Productions'],,"['Drama', 'Romance']",['Spanish']
540. Cyankali,1930,1h 29m,,6.3,36,,A fervid drama forcefully illustrates the catastrophic consequences of keeping abortion illegal.,https://www.imdb.com/title/tt0020800/?ref_=sr_i_540,"['Hans Tintner', 'Friedrich Wolf']",['Hans Tintner'],"['Grete Mosheim', 'Nico Turoff', 'Claus Clausen', 'Herma Ford', 'Margarete Kupfer', 'M. Anderson', 'Paul Henckels', 'Louis Ralph', 'Paul Kemp', 'Hermann Vallentin']",,,,,"May 23, 1930",['Germany'],,['Atlantis Film'],,['Drama'],['German']
541. O'Malley Rides Alone,1930,1h,Passed,,,,An old prospector is murdered after striking it rich. Sgt. O'Malley sets out to find his killers.,https://www.imdb.com/title/tt0021195/?ref_=sr_i_541,"['Sally Winters', 'Jacques Jaccard']",['J.P. McGowan'],"['Bob Custer', 'Phyllis Bainbridge', 'Martin Cichy', 'J.P. McGowan', 'Bud Osborne', 'Cliff Lyons', 'Perry Murdock', 'Slim Whitaker', 'Charles Brinley', 'Buck Bucko']",,,,,"January 1, 1930",['United States'],"['Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA']",['J.P. McGowan Productions'],,['Western'],['English']
542. The Parting of the Trails,1930,50m,Passed,,,,"Wanderers ""Ramblin'"" Raymond and ""Restless"" Roberts meet up with eastern millionaire J. Addington Fiske and his daughter Corliss. Fiske is always seeking diversion and soon has more than he reckoned for when rustler ""Lucky"" Hardy decides to widen his activities and kidnaps Fiske for ransom. Raymond rescues Fiske, collects the reward and wins fair Corliss.",https://www.imdb.com/title/tt0021238/?ref_=sr_i_542,['Sally Winters'],['J.P. McGowan'],"['Bob Custer', 'Vivian Bay', 'Bobby Dunn', 'George Miller', 'Tom Bay', 'Henry Roquemore']",,,,,"January 1, 1930",['United States'],,['J.P. McGowan Productions'],,['Western'],['English']
543. May I Come In,1930,1h 12m,Passed,6.7,55,,"Businessman Jim Murdock is too busy with work to pay much attention to his wife. She is an avid golfer, and soon finds a kindred soul in a man named Johnny Spence. Eventually Jim and his wife separate, and she turns to modeling to earn a living. Jim, on his part, takes up golf on his doctor's advice. While on the links he makes the acquaintance of Tommy Milligan, an Irish caddie whose philosophy and outlook on life eventually gets Jim to thinking about why his marriage failed, and what he can do about it.",https://www.imdb.com/title/tt0021237/?ref_=sr_i_543,"['Stewart Edward White', 'Raymond L. Schrock', 'Leo McCarey']",['Leo McCarey'],"['Edmund Lowe', 'Leila Hyams', 'Tommy Clifford', 'Walter McGrail', 'Louis Payne', 'Sam Lufkin', 'Bodil Rosing', 'George Corcoran', 'Bob Callahan', 'Bill Elliott']",,,,,"December 28, 1930",['United States'],,['Fox Film Corporation'],,"['Comedy', 'Romance', 'Sport']",['English']
544. The Three Sisters,1930,1h 17m,,8.2,14,,,https://www.imdb.com/title/tt0021473/?ref_=sr_i_544,"['George S. Brooks', 'James Kevin McGuinness', 'Marion Orth']",['Paul Sloane'],"['Louise Dresser', 'Tom Patricola', 'Kenneth MacKenna', 'Joyce Compton', 'June Collyer', 'Addie McPhail', 'Cliff Saum', 'Sidney De Gray', 'Paul Porcasi', 'John St. Polis']",,,,,"April 20, 1930",['United States'],,['Fox Film Corporation'],,[],['English']
545. Big Money,1930,1h 20m,,7.0,25,,"Eddie, a messenger boy in the George McCall brokerage house, is dispatched to deliver $50,000 in currency to the bank just before before closing time, but his weakness for tossing the dice results in his arriving too late; unable to return it to the company safe, he is forced to take it home. A jokingly intended dinner invitation extended to the boss's daughter is accepted, and when Joan guides Eddie to a restaurant beyond his means, he is forced to delve into the company funds. On the way home he is waylaid by two crooks, Monk and Lefty, and in the ensuing chase Eddie rides the service elevator of a hotel to a room where he gets involved with Ace Carter, a notorious gambler from whom he wins a large sum. Later, when Joan discovers that Eddie is a gambler, she refuses his marriage proposal. At a poker game, Jim Durkin is shot by Monk, the fourth player; Eddie then decides to reform, refuses to gamble, but is arraigned as a witness to the murder; and Durkin's brother, Skip, comes to get revenge but is apprehended after forcing Monk to confess. Eddie is released and reconciled with Joan.",https://www.imdb.com/title/tt0020688/?ref_=sr_i_545,"['Walter DeLeon', 'Russell Mack']",['Russell Mack'],"['Eddie Quillan', 'Robert Armstrong', 'James Gleason', 'Margaret Livingston', 'Miriam Seegar', 'Robert Edeson', 'Dorothy Christy', 'G. Pat Collins', 'Morgan Wallace', 'Myrtis Crinley']",,,,,"October 28, 1930",['United States'],,['Pathé Exchange'],,"['Drama', 'Romance']",['English']
